Year,Cinema Revenue (Thousands of Euros)
2023,72937
2022,55384
2021,30622
2020,20567
2019,83191
2018,78677
2017,81678
2016,77239
2015,75013
2014,62742
2013,65495
2012,73955
2011,79939
2010,82243
2009,73842
2008,69895
2007,69121
2006,68321
2005,70414
2004,76065
2003,74078
2002,73214
2001,69182
2000,60251
1999,55199
1998,46850
1997,41266
1996,29423
1995,18496
1994,16548
1993,15573
1992,13688
1991,12597
1990,14247
1989,15875
1988,19381
1987,17842
1986,19139
1985,15210
1984,12524
1983,13184
1982,10742
1981,9705
1980,7896
1979,6828
1978,
1977,
1976,
1975,
1974,
1973,
1972,
1971,
1970,
1969,1404
1968,1042
1967,1336
1966,1193
1965,1085
1964,982
1963,965
1962,965
1961,976
