Year,Number of Cinema Sessions
2023,542597
2022,509806
2021,330473
2020,276982
2019,661629
2018,664341
2017,665841
2016,650538
2015,621770
2014,596884
2013,558161
2012,635051
2011,670677
2010,670315
2009,651325
2008,644778
2007,605717
2006,591139
2005,718537
2004,659066
2003,569889
2002,504667
2001,450201
2000,419695
1999,414864
1998,311602
1997,275420
1996,194549
1995,145846
1994,125622
1993,130595
1992,138414
1991,142191
1990,168657
1989,187485
1988,213540
1987,213626
1986,189655
1985,185092
1984,188672
1983,197270
1982,189699
1981,185658
1980,170965
1979,163796
1978,153414
1977,154892
1976,148942
1975,135853
1974,120707
1973,111835
1972,106931
1971,101214
1970,101993
1969,100139
1968,97042
1967,96194
1966,85408
1965,83233
1964,82657
1963,73528
1962
